"";"voting.group";"slope_with_covs";"slope_without_covs";"slope_with_covs_add_cntry";"slope_without_covs_add_cntry";"n.x";"observed_r";"n.y";"anti.imm";"pro.env"
"207";"LT: Electoral Action of Poles in Lithuania-Christian Families Alliance (LLRA-KSS)";0,153248757788107;0,172703008589809;0,206572503691348;0,248362579226633;1927;0,132007763422146;64;0;0
"208";"LT: Homeland Union - Lithuanian Christian Democrats (TS-LKD)";0,137379148399904;0,172665821464437;0,190702894303145;0,24832539210126;1927;0,0805851776148461;175;0;0
"209";"LT: Labour Party (DP)";0,0995374766374769;0,118874329608416;0,152861222540718;0,19453390024524;1927;-0,262538475155882;44;0;0
"210";"LT: Liberals' Movement of the Republic of Lithuania (LRLS)";0,140041508792885;0,161928922711405;0,193365254696126;0,237588493348229;1927;0,00406906211447673;57;0;0
"211";"LT: Lithuanian Greens Party (LZP)";0,152318976268833;0,177874060192658;0,205642722172074;0,253533630829482;1927;0,166506566293603;9;0;1
"212";"LT: Lithuanian Peasant and Greens Union (LVZS)";0,150209136620464;0,169512214875383;0,203532882523705;0,245171785512206;1927;0,0921142965892982;266;0;1
"213";"LT: Lithuanian Social Democratic Party (LSDP)";0,143221417327615;0,156819732925476;0,196545163230856;0,2324793035623;1927;0,0542708388309176;181;0;0
"214";"LT: not eligible: age";0,184327019644101;0,206702061289237;0,237650765547342;0,282361631926061;1927;0,170270381112323;108;0;0
"215";"LT: not eligible: citizenship";0,156830042093186;0,180294199630315;0,210153787996427;0,255953770267138;1927;0,552770798392567;5;0;0
"216";"LT: not eligible: other";0,172999052138159;0,200951811760348;0,2263227980414;0,276611382397172;1927;0,970725343394151;3;0;0
"217";"LT: Other";0,113747280093128;0,136135834182904;0,167071025996369;0,211795404819728;1927;-0,299328918689372;61;0;0
"218";"LT: Party Order and Justice (TT)";0,0891930135605745;0,108859164070012;0,142516759463815;0,184518734706835;1927;-0,226482247508867;71;0;0
"219";"LT: Political Party 'The Way of Courage' (DK)";0,173690666700518;0,205019800582455;0,227014412603759;0,280679371219279;1927;NA;2;0;0
"220";"LT: Refusal";0,167076454886294;0,18499807668391;0,220400200789535;0,260657647320733;1927;0,182441061892546;76;0;0
"221";"NL: 50PLUS";0,15035567846826;0,166574112246765;0,26631716689763;0,305982743572343;1661;0,623718788535556;14;0;0
"222";"NL: Christian Democratic Appeal";0,148311476342171;0,167544714128767;0,264272964771541;0,306953345454345;1661;0,12861671563675;146;0;0
"223";"NL: Christian Union";0,166425847475251;0,196755900219984;0,282387335904621;0,336164531545562;1661;0,181070928471036;36;0;0
"224";"NL: Democrats 66";0,150404966869587;0,183953650984842;0,266366455298957;0,32336228231042;1661;0,145369145481338;163;0;0
